date,min_price
2019-09-19,6199.99
2019-09-20,6199.9
2019-09-21,5899
2019-09-27,5874.9
2019-09-28,5874.9
2019-10-08,5874.9
2019-10-14,5874.9
2019-10-15,5874.9
2019-10-21,5899.9
2019-10-30,5899.9
2019-10-31,5899.9
2019-11-01,5899.9
2019-11-10,5899.9
2019-11-14,5899.9
2019-11-15,5899.9
2019-11-21,5899.9
2019-11-22,5849
2019-11-26,5849
2019-12-03,5849
2019-12-04,5799
2019-12-07,5799
2019-12-10,5799
2019-12-11,5799
2019-12-12,5899
2019-12-14,5899
2019-12-15,5849
2019-12-16,5849
2019-12-17,5849
2019-12-18,5898.9
2019-12-20,5898.9
2019-12-21,5898.9
2019-12-23,5849
2019-12-24,5849
2019-12-27,5849
2019-12-29,5799
2019-12-30,5799
2020-01-02,5799
2020-01-04,5799
2020-01-05,5749
2020-01-19,5749
2020-01-22,5749
2020-01-27,5749
2020-01-28,5749
2020-01-30,5749
2020-02-01,5749
2020-02-07,5749
2020-02-08,5749
2020-02-09,5749
2020-02-10,5749
2020-02-11,5749
2020-02-12,5747.99
2020-02-13,5747.99
2020-02-14,5749
2020-02-15,5749
2020-02-16,5799
2020-02-17,5799
2020-02-18,5849.9
2020-02-19,5849.9
2020-02-20,5849.9
2020-02-21,5849.9
2020-02-22,5849.9
2020-02-23,5849.9
2020-02-24,5849.9
2020-02-25,5849.9
2020-02-26,5849.9
2020-02-27,5849.9
2020-02-28,5849.9
2020-02-29,5849.9
2020-03-02,5849.9
2020-03-03,5849.9
2020-03-04,5949.9
2020-03-05,5949.9
2020-03-06,5949.9
2020-03-07,5949.9
2020-03-10,5949.9
2020-03-11,5799.9
2020-03-13,5799.9
2020-03-14,5699.9
2020-03-17,5699.9
2020-03-18,5699.9
2020-03-19,5699.9
2020-03-20,5699.9
2020-03-21,5699.9
2020-03-22,5699.9
2020-03-24,5699.9
2020-03-25,5699.9
2020-03-26,5699.9
2020-03-27,5699.9
2020-03-28,5699.9
2020-03-29,5699.9
2020-03-30,5699
2020-04-01,5699
2020-04-02,5699
2020-04-03,5699
2020-04-04,5699
2020-04-07,5699
2020-04-08,5699
2020-04-09,5699
2020-04-10,5699
2020-04-11,5699
2020-04-12,5299.99
2020-04-13,5299.99
2020-04-14,5299.99
2020-04-15,5399
2020-04-16,5399
2020-04-17,5399
2020-04-19,5399
2020-04-20,5399
2020-04-21,5549.99
2020-04-22,5549.99
2020-04-23,5699.9
2020-04-24,5799.9
2020-04-25,5799.9
2020-04-26,5799.9
2020-04-27,5799.99
2020-04-28,5799.99
2020-04-29,5799.99
2020-04-30,5799.99
2020-05-01,5799.99
2020-05-02,5799.99
2020-05-03,5845.29
2020-05-04,5845.29
2020-05-05,5899.99
2020-05-06,5899.99
2020-05-07,5799.99
2020-05-08,5649.99
2020-05-09,5649.99
2020-05-10,5649.99
2020-05-11,5649.99
2020-05-12,5649.99
2020-05-13,5649.99
2020-05-14,5799.9
2020-05-15,5799.9
2020-05-16,5799.9
2020-05-17,5799.9
2020-05-18,5799.9
2020-05-19,5799.9
2020-05-20,5799.9
2020-05-21,5799.9
2020-05-23,5699.9
2020-05-24,5699.9
2020-05-25,5699.99
2020-05-26,5699.9
2020-05-27,5699.9
2020-05-29,5699.9
2020-05-30,5699.9
2020-05-31,5699.9
2020-06-01,5699.9
2020-06-02,5699.9
2020-06-03,5699.9
2020-06-04,5699.9
2020-06-05,5699.9
2020-06-06,5699.9
2020-06-07,5699.9
2020-06-08,5699.9
2020-06-09,5699.9
2020-06-10,5699.9
2020-06-11,5699.9
2020-06-12,5699.9
2020-06-13,5699.9
2020-06-14,5699.9
2020-06-15,5699.9
2020-06-16,5699.9
2020-06-17,5699.9
2020-06-18,5779.99
2020-06-19,5699.9
2020-06-20,5699.9
2020-06-21,5779.99
2020-06-22,5779.99
