avgprice,Date,min_price,Stores
5399,2018-09-20,5399,Pret mediu
5499,2018-09-22,5499,Pret minim
5749,2018-09-27,5499,
5724.933333,2018-09-28,5499,
5668.6975,2018-10-01,5499,
5543.6975,2018-10-04,5499,
5729.756,2018-10-07,5499,
5788.756,2018-10-10,5499,
5788.956,2018-10-11,5499,
5535.156,2018-10-13,5494.99,
5534.556,2018-10-15,5494.99,
5534.756,2018-10-20,5494.99,
5534.756,2018-11-01,5494.99,
5494.756,2018-11-04,5299,
5512.956,2018-11-05,5299,
5633.154,2018-11-06,5499,
5632.954,2018-11-07,5499,
5617.96,2018-11-11,5499,
5618.293333,2018-11-14,5499,
5656.793333,2018-11-16,5499,
5618.293333,2018-11-17,5499,
5618.46,2018-11-21,5499,
5643.293333,2018-11-23,5499,
5626.46,2018-11-24,5499,
5626.626667,2018-11-28,5499,
5621.293333,2018-12-01,5499,
5620.96,2018-12-03,5499,
5621.126667,2018-12-04,5499,
5620.96,2018-12-05,5499,
5621.126667,2018-12-06,5499,
5512.795,2018-12-13,5299,
5517.628333,2018-12-14,5299,
5559.628333,2018-12-15,5299,
5559.961667,2018-12-18,5299,
5559.628333,2018-12-19,5299,
5559.461667,2018-12-20,5299,
5559.295,2018-12-21,5299,
5465.461667,2018-12-22,5276.99,
5460.128333,2018-12-23,5276.99,
5459.961667,2018-12-24,5276.99,
5499.795,2018-12-28,5276.99,
5499.628333,2019-01-01,5276.99,
5459.795,2019-01-05,5276.99,
5499.628333,2019-01-06,5276.99,
5459.461667,2019-01-12,5276.99,
5459.461667,2019-01-14,5276.99,
5459.628333,2019-01-15,5276.99,
5459.961667,2019-01-16,5276.99,
5459.795,2019-01-18,5276.99,
5464.461667,2019-01-21,5276.99,
5464.795,2019-01-23,5276.99,
5464.961667,2019-01-25,5276.99,
5470.461667,2019-01-26,5276.99,
5570.626667,2019-02-06,5276.99,
5585.793333,2019-02-14,5276.99,
5600.126667,2019-02-15,5276.99,
5710.793333,2019-02-16,5499,
5709.96,2019-02-18,5499,
5715.793333,2019-02-21,5499,
5717.96,2019-02-22,5499,
5717.793333,2019-02-23,5499,
5718.626667,2019-02-24,5499,
5735.293333,2019-02-25,5499,
5716.293333,2019-02-26,5499,
5718.293333,2019-03-02,5499,
5698.293333,2019-03-03,5379.99,
5683.293333,2019-03-06,5289.99,
5685.46,2019-03-08,5289.99,
5700.293333,2019-03-09,5289.99,
5593.626667,2019-03-12,5289.99,
5582.96,2019-03-13,5289.99,
5582.793333,2019-03-14,5289.99,
5581.96,2019-03-15,5289.99,
5596.793333,2019-03-16,5379.99,
5597.293333,2019-03-20,5379.99,
5596.96,2019-03-22,5379.99,
5597.126667,2019-03-26,5379.99,
5608.626667,2019-03-27,5379.99,
5596.96,2019-03-29,5379.99,
5596.96,2019-03-30,5379.99,
5613.793333,2019-03-31,5379.99,
5629.46,2019-04-02,5379.99,
5632.626667,2019-04-17,5379.99,
5619.293333,2019-04-18,5299.99,
5615.96,2019-04-25,5299.99,
5619.293333,2019-04-29,5299.99,
5615.96,2019-05-01,5299.99,
5615.793333,2019-05-03,5299.99,
5620.126667,2019-05-08,5299.99,
5570.126667,2019-05-14,4999.99,
5545.126667,2019-05-15,4999.99,
5544.96,2019-05-16,4999.99,
5545.126667,2019-05-17,4999.99,
5595.126667,2019-05-21,5299.99,
