date,min_price
2019-02-20,4799.9
2019-02-21,4799.9
2019-02-22,4799.9
2019-02-24,4799.9
2019-02-26,4799.9
2019-03-06,4799
2019-03-15,4756.99
2019-03-18,4635.8
2019-03-19,4756.99
2019-03-21,4756.99
2019-03-23,4756.99
2019-03-26,4746.99
2019-04-02,4699.99
2019-04-03,4699.99
2019-04-04,4699.99
2019-04-06,4599.9
2019-04-07,4599.9
2019-04-09,4599.9
2019-04-11,4499
2019-04-17,4499
2019-04-18,4499
2019-04-30,4399.9
2019-05-04,4199.99
2019-05-05,4199.99
2019-05-06,4199.99
2019-05-07,4199.99
2019-05-08,4294.99
2019-05-09,4293.99
2019-05-10,4293.99
2019-05-11,4293.99
2019-05-14,4293.99
2019-05-15,4199
2019-05-16,4199
2019-05-17,4099
2019-05-18,4099
2019-05-20,4099
2019-05-21,4089
2019-05-22,4089
2019-05-24,4089
2019-05-25,4089
2019-05-28,4089
2019-06-03,4089
2019-06-04,4089
2019-06-05,3984.8
2019-06-08,3970.99
2019-06-09,3970.99
2019-06-10,3970.99
2019-06-11,3824.8
2019-06-12,3828.8
2019-06-14,3828.8
2019-06-15,3828.8
2019-06-16,3828.8
2019-06-18,3828.8
2019-06-19,3828.99
2019-06-20,3828.99
2019-06-21,3828.99
2019-06-22,3794.9
2019-06-23,3794.9
2019-06-25,3794.9
2019-06-26,3794.9
2019-06-27,3794.9
2019-06-28,3794.9
2019-06-29,3794.9
2019-06-30,3794.9
2019-07-01,3794.9
2019-07-02,3819.9
2019-07-03,3819.9
2019-07-04,3819.9
2019-07-05,3799
2019-07-06,3799
2019-07-07,3799
2019-07-08,3799
2019-07-09,3799
2019-07-10,3799
2019-07-11,3749
2019-07-12,3749
2019-07-13,3749
2019-07-14,3749
2019-07-17,3699.99
2019-07-18,3699.99
2019-07-19,3699.99
2019-07-20,3699.99
2019-07-21,3699.99
2019-07-22,3706.99
2019-07-23,3699.99
2019-07-24,3697.99
2019-07-25,3697.99
2019-07-26,3697.99
2019-07-27,3749.99
2019-07-30,3749.99
2019-07-31,3749.99
2019-08-01,3749
2019-08-02,3749
2019-08-03,3749
2019-08-05,3749.99
2019-08-06,3749.99
2019-08-07,3749.99
2019-08-08,3749
2019-08-09,3699
2019-08-10,3609.6
2019-08-11,3609.6
